n,theta_idx,method,energy,wall_seconds
6,0,noiseless,-4.775259851411445,0.00025653839111328125
6,0,noisy_factored,-4.427694264732782,0.001749277114868164
6,0,surrogate,-5.156515023396988,0.008656024932861328
6,0,shadow,-4.920000000000001,0.03871273994445801
6,1,noiseless,-4.959335377322522,0.0003287792205810547
6,1,noisy_factored,-4.5890057848208645,0.0023784637451171875
6,1,surrogate,-5.509097275957397,0.012192487716674805
6,1,shadow,-4.5075,0.03905224800109863
6,2,noiseless,-5.007101820392763,0.0002448558807373047
6,2,noisy_factored,-4.629357380823422,0.0017511844635009766
6,2,surrogate,-5.5214898389148965,0.00865316390991211
6,2,shadow,-4.484999999999999,0.038698434829711914
6,3,noiseless,-4.942420333945913,0.0002574920654296875
6,3,noisy_factored,-4.565623374088288,0.0017619132995605469
6,3,surrogate,-5.328883582336019,0.008673429489135742
6,3,shadow,-4.845,0.03870368003845215
6,4,noiseless,-5.0677369793192035,0.00025153160095214844
6,4,noisy_factored,-4.691549371068633,0.0017557144165039062
6,4,surrogate,-5.699601312100617,0.00855708122253418
6,4,shadow,-4.965,0.04574775695800781
6,5,noiseless,-4.98261974462868,0.00030541419982910156
6,5,noisy_factored,-4.617951079067737,0.0022902488708496094
6,5,surrogate,-5.4415061157612925,0.012305974960327148
6,5,shadow,-4.522500000000001,0.03899216651916504
6,6,noiseless,-5.089694626882304,0.000186920166015625
6,6,noisy_factored,-4.712273363385005,0.001399993896484375
6,6,surrogate,-5.7196514565828105,0.008592605590820312
6,6,shadow,-4.965,0.03835868835449219
6,7,noiseless,-5.045205471551005,0.00017547607421875
6,7,noisy_factored,-4.66355567404045,0.0014004707336425781
6,7,surrogate,-5.631222392723912,0.00857996940612793
6,7,shadow,-5.160000000000001,0.04120063781738281
6,8,noiseless,-4.984837320510801,0.0002105236053466797
6,8,noisy_factored,-4.614981516903878,0.0014107227325439453
6,8,surrogate,-5.42232438682632,0.00863790512084961
6,8,shadow,-4.4475,0.038475990295410156
6,9,noiseless,-4.5958473651804415,0.0001723766326904297
6,9,noisy_factored,-4.262565640863133,0.002643108367919922
6,9,surrogate,-5.152902695022835,0.010286569595336914
6,9,shadow,-3.3300000000000005,0.03843045234680176
6,10,noiseless,-5.082120787517221,0.000171661376953125
6,10,noisy_factored,-4.7057337301912705,0.0014677047729492188
6,10,surrogate,-5.662896668710245,0.008694887161254883
6,10,shadow,-4.980000000000001,0.03933310508728027
6,11,noiseless,-5.066371262262667,0.00022077560424804688
6,11,noisy_factored,-4.69018837749724,0.0018382072448730469
6,11,surrogate,-5.720659469911149,0.01219797134399414
6,11,shadow,-5.13,0.04583334922790527
6,12,noiseless,-5.1035989152882895,0.00019431114196777344
6,12,noisy_factored,-4.725269002646225,0.0015559196472167969
6,12,surrogate,-5.51476259773157,0.011444330215454102
6,12,shadow,-4.7325,0.03899264335632324
6,13,noiseless,-5.024738863620637,0.00022292137145996094
6,13,noisy_factored,-4.647513003373264,0.0013973712921142578
6,13,surrogate,-5.298331359684982,0.008805990219116211
6,13,shadow,-4.822500000000001,0.03876447677612305
6,14,noiseless,-4.975538522405335,0.00025534629821777344
6,14,noisy_factored,-4.609666385413522,0.001851797103881836
6,14,surrogate,-5.723667313043197,0.012191295623779297
6,14,shadow,-4.56,0.04639291763305664
6,15,noiseless,-5.096351889692277,0.00023031234741210938
6,15,noisy_factored,-4.717834145114145,0.0018506050109863281
6,15,surrogate,-5.656386950740847,0.012059688568115234
6,15,shadow,-4.995,0.03885006904602051
6,16,noiseless,-5.012294029686443,0.00021958351135253906
6,16,noisy_factored,-4.644271794655386,0.0018160343170166016
6,16,surrogate,-5.624324498190398,0.012170791625976562
6,16,shadow,-4.192500000000001,0.03892350196838379
6,17,noiseless,-5.056541621941486,0.00022673606872558594
6,17,noisy_factored,-4.6793543142675595,0.0018200874328613281
6,17,surrogate,-5.615332936945857,0.011993885040283203
6,17,shadow,-5.220000000000001,0.04635930061340332
6,18,noiseless,-4.960008641293972,0.00018262863159179688
