n,t_count,instance,n_query,mae,wall_seconds,n_nonzero
8,0,0,1000,0.09402530170927431,0.38720059394836426,3511
8,0,0,2000,0.038454125024741014,1.2012312412261963,2438
8,0,0,4000,0.05367337850688162,1.3030788898468018,1975
8,0,0,8000,0.02454966766303512,4.127853870391846,1226
8,0,1,1000,0.11092955247953129,0.6199145317077637,3774
8,0,1,2000,0.036226794746744895,0.8722472190856934,2319
8,0,1,4000,0.06222024500991907,1.264389991760254,2313
8,0,1,8000,0.05734251546530926,2.5237045288085938,1470
8,0,2,1000,0.05952659264507413,0.3343923091888428,3357
8,0,2,2000,0.07991262380366533,0.6497802734375,2561
8,0,2,4000,0.043723137382224844,1.2530529499053955,1781
8,0,2,8000,0.020373904456094605,2.4727723598480225,1078
8,2,0,1000,0.1500402416085183,0.6222424507141113,3772
8,2,0,2000,0.04671244148181036,1.206563949584961,2534
8,2,0,4000,0.08202449157070026,1.883594274520874,2006
8,2,0,8000,0.04064160387556063,2.472486972808838,1149
8,2,1,1000,0.1391471707438026,0.5845062732696533,3691
8,2,1,2000,0.06363311260161317,0.6187314987182617,2840
8,2,1,4000,0.08445508813153932,1.221264362335205,1894
8,2,1,8000,0.034916999041002185,2.9371426105499268,1338
8,2,2,1000,0.04495403625264198,0.363070011138916,3276
8,2,2,2000,0.04036941556545034,1.309431791305542,2257
8,2,2,4000,0.030481565709192242,2.4118969440460205,1792
8,2,2,8000,0.030868545993396557,4.2682366371154785,1354
8,4,0,1000,0.4691636228114591,0.320939302444458,4341
8,4,0,2000,0.3454683431642843,0.9426510334014893,6020
8,4,0,4000,0.06496199262821375,2.290377378463745,2196
8,4,0,8000,0.04211575527716059,2.9599366188049316,1676
8,4,1,1000,0.35040626681380804,0.328571081161499,5547
8,4,1,2000,0.09841846353302441,0.8591461181640625,3633
8,4,1,4000,0.13719636622139816,1.410536766052246,3711
8,4,1,8000,0.09594418040495133,3.4807701110839844,2256
8,4,2,1000,0.08771157173670396,0.4100840091705322,3791
8,4,2,2000,0.20716104775226224,1.4686486721038818,3645
8,4,2,4000,0.2696933399320977,1.5740203857421875,3292
8,4,2,8000,0.011284041318253429,4.905152320861816,946
8,6,0,1000,0.29587822370373057,0.42029833793640137,4828
8,6,0,2000,0.17020970683209272,0.918447732925415,3919
8,6,0,4000,0.353451513236438,1.5824048519134521,5432
8,6,0,8000,0.030290948745504264,3.0342226028442383,1834
8,6,1,1000,0.05737623616284491,0.7003068923950195,3398
8,6,1,2000,0.07995840182962519,0.7577621936798096,3018
