trial,gauss_deviation,shadow_deviation
244,0.022617,-0.005887
245,0.113679,0.035605
246,0.018295,-0.031056
247,0.106712,-0.175333
248,-0.049369,0.062694
249,-0.008538,0.007619
250,-0.150623,0.039256
251,-0.077383,-0.070761
252,0.016308,-0.052707
253,-0.082785,0.059042
254,-0.047770,-0.011270
255,0.116190,0.169950
256,-0.036159,0.058145
257,0.045101,0.218556
258,-0.007417,-0.087918
259,-0.042774,0.152792
260,0.054329,-0.094198
261,0.162904,-0.087863
262,-0.119705,-0.054494
263,0.180986,-0.007619
264,0.078690,-0.076144
265,-0.116336,0.094198
266,-0.044378,0.029269
267,0.105290,0.039256
268,-0.214976,0.031056
269,-0.029642,-0.251925
270,-0.104511,0.064425
271,0.061463,0.052707
272,0.018609,0.005832
273,-0.155641,-0.097850
274,-0.020497,-0.022989
275,-0.098224,0.017550
276,-0.218417,-0.047323
277,-0.049678,-0.054494
278,-0.124542,-0.054494
279,0.029864,0.052707
280,-0.040005,0.076200
281,-0.092801,-0.111300
282,-0.007774,-0.140177
283,0.060939,0.205050
284,0.134032,0.070761
285,0.123219,0.077931
286,0.034211,0.004100
287,-0.347530,-0.019338
288,0.011239,0.069864
289,0.152825,-0.158231
290,0.058593,0.158175
291,-0.135160,0.015819
292,0.054623,-0.146512
293,-0.079210,0.168162
294,-0.076389,0.128458
295,0.133793,0.099582
296,-0.004422,0.005832
297,-0.156797,0.205050
298,-0.093520,0.105917
299,-0.001194,0.187948
300,-0.080302,-0.042775
301,-0.038634,0.029269
302,0.084745,0.041043
303,-0.072986,0.094198
304,-0.040031,-0.333957
305,0.093655,-0.113088
306,-0.092467,0.031056
307,0.031023,-0.176230
308,-0.204661,-0.004100
309,-0.109522,-0.022989
310,0.216972,-0.042775
311,0.045929,-0.054494
312,-0.026464,-0.261912
313,0.130989,-0.005887
314,0.076303,-0.040988
315,-0.258694,0.039256
316,-0.116177,-0.117636
317,-0.163880,-0.005832
318,-0.059158,0.064425
319,0.233561,-0.031056
320,0.033753,0.027537
321,-0.016062,-0.124806
322,-0.013394,-0.011270
323,-0.009219,0.059042
324,-0.105445,-0.193387
325,-0.051923,0.042775
326,0.085478,-0.123019
327,0.130090,-0.164511
328,-0.103626,0.064425
329,0.035687,0.041043
330,-0.069844,0.117636
331,-0.032605,0.121287
332,-0.028895,0.000448
333,0.192398,0.069864
334,-0.022596,0.042775
335,-0.095416,-0.054494
336,-0.027881,0.152792
337,-0.070620,0.089650
338,0.116809,-0.012167
339,0.113009,-0.101369
340,0.074675,0.121287
341,-0.005951,-0.062694
342,0.054731,0.022989
343,0.006168,0.023886
344,-0.097815,-0.027537
345,0.098987,0.017606
346,0.097372,0.111300
347,0.223702,-0.050975
348,0.190300,0.124806
349,-0.059872,0.034708
350,0.090684,0.187948
351,0.209250,-0.062694
352,-0.098688,0.064425
353,-0.098203,-0.076200
354,0.088691,-0.039256
355,0.068858,-0.005887
356,0.043909,-0.121287
357,-0.104544,-0.152792
358,0.142391,0.022989
