n_qubits,instance,n_query,chunk_size,mae,wall_seconds,peak_rss_bytes,n_nonzero_coefficients
4,0,1000,500,0.11952264076497059,0.08421635627746582,144347136,170
4,1,1000,500,0.08360518810763266,0.09134244918823242,144338944,170
4,2,1000,500,0.09677268043584729,0.08212137222290039,144457728,168
4,0,2000,500,0.06007005233706075,0.17907404899597168,144273408,163
4,1,2000,500,0.08320022923344253,0.16102862358093262,144683008,163
4,2,2000,500,0.06233995885843726,0.1616363525390625,144384000,152
4,0,4000,500,0.06570860615606818,0.32077598571777344,144928768,146
4,1,4000,500,0.05879804710175442,0.3292808532714844,144936960,165
4,2,4000,500,0.06897921099768048,0.3221464157104492,145047552,153
4,0,8000,500,0.04672791715383078,0.7136600017547607,145272832,152
4,1,8000,500,0.05184419955532223,0.6623234748840332,144973824,156
4,2,8000,500,0.05108759454013232,0.6448562145233154,144470016,160
6,0,1000,500,0.1258916657633748,0.20177865028381348,145125376,1455
6,1,1000,500,0.1506649060601574,0.12921404838562012,145133568,1448
6,2,1000,500,0.1512939758245304,0.12959933280944824,145244160,1468
6,0,2000,500,0.11009209677014531,0.25748205184936523,145563648,1189
6,1,2000,500,0.10306381926011468,0.3933384418487549,144863232,1232
6,2,2000,500,0.11420838274046383,0.2563285827636719,145862656,1211
6,0,4000,500,0.065646707233506,0.5434162616729736,146706432,1061
6,1,4000,500,0.07455449852923487,0.8872716426849365,147013632,1011
6,2,4000,500,0.07185964924764973,0.5384011268615723,146501632,1088
6,0,8000,500,0.057250200133367554,1.0848193168640137,146546688,936
6,1,8000,500,0.056348278534248744,1.0460402965545654,145846272,924
6,2,8000,500,0.05161594476872986,1.123687505722046,146845696,958
8,0,1000,500,0.20367680115885753,0.3218076229095459,154062848,9563
8,1,1000,500,0.21643442659729537,0.32122111320495605,154460160,9626
8,2,1000,500,0.2445102288126777,0.3157021999359131,154570752,9511
8,0,2000,500,0.16709425398479788,0.9542372226715088,157274112,7115
8,1,2000,500,0.14651382229517712,0.795520544052124,157130752,6965
8,2,2000,500,0.1597633254834368,0.6383750438690186,157593600,7023
8,0,4000,500,0.09895761400827725,1.3170390129089355,160505856,5114
8,1,4000,500,0.11101969204625481,1.678006887435913,159498240,5133
8,2,4000,500,0.09318184699558786,2.3914599418640137,159961088,5006
8,0,8000,500,0.06561087453332362,2.762984037399292,158879744,3877
8,1,8000,500,0.062422105840269325,2.849473237991333,159494144,3820
8,2,8000,500,0.04988893598714906,2.925571918487549,159617024,3740
10,0,1000,500,0.42789395025467264,2.774611473083496,220213248,52319
10,1,1000,500,0.34926757142234177,3.355684757232666,220491776,53127
10,2,1000,500,0.3540932111728458,2.588932752609253,220536832,51206
10,0,2000,500,0.18301422836722359,5.842589616775513,244563968,34464
10,1,2000,500,0.20092743577591135,4.995886325836182,244101120,34153
10,2,2000,500,0.16388587244478142,4.875036239624023,244842496,35016
10,0,4000,500,0.14039204846820735,10.905256509780884,287256576,22964
10,1,4000,500,0.15771142814458713,8.992751359939575,286466048,23456
10,2,4000,500,0.12163978829736358,8.659903764724731,287457280,22798
10,0,8000,500,0.058991484862142465,17.240540266036987,287961088,14161
10,1,8000,500,0.06971787748408756,19.71466875076294,289107968,14428
10,2,8000,500,0.05974381563505804,20.842533111572266,287698944,14445
12,0,1000,500,0.6951994223103382,26.121739149093628,798150656,266263
12,1,1000,500,0.4527892296274768,25.883162021636963,745443328,268432
12,2,1000,500,0.6733085585004763,29.35247492790222,798818304,268301
12,0,2000,500,0.27715473549088293,44.27924418449402,876810240,168951
12,1,2000,500,0.3563361719226922,48.274402379989624,878370816,169524
12,2,2000,500,0.36344653989882475,37.309142112731934,877850624,174601
12,0,4000,500,0.21460782925258998,92.51828670501709,1129885696,108171
12,1,4000,500,0.22380055867211923,92.81022143363953,1129783296,108989
12,2,4000,500,0.19264483777105695,88.29670000076294,1131614208,107456
12,0,8000,500,0.09164936353695301,170.92320084571838,1234604032,67036
12,1,8000,500,0.12206538504278679,163.33149218559265,1255731200,68261
12,2,8000,500,0.11966576118061822,152.14463877677917,1235152896,68013
