unitary_idx,tau,N,distribution,mse,mae
7,0.05,50,computational,0.048888,0.182229
7,0.05,50,stabilizer,0.049894,0.180533
7,0.05,50,haar,0.014407,0.097098
7,0.05,100,computational,0.060570,0.197936
7,0.05,100,stabilizer,0.041810,0.162236
7,0.05,100,haar,0.017327,0.106279
7,0.05,150,computational,0.024029,0.122843
7,0.05,150,stabilizer,0.023551,0.115046
7,0.05,150,haar,0.014661,0.097094
7,0.05,200,computational,0.019423,0.108941
7,0.05,200,stabilizer,0.021761,0.117767
7,0.05,200,haar,0.013046,0.091855
7,0.05,250,computational,0.020162,0.112374
7,0.05,250,stabilizer,0.021824,0.115686
7,0.05,250,haar,0.011773,0.088312
7,0.05,300,computational,0.014281,0.097338
7,0.05,300,stabilizer,0.022068,0.123021
7,0.05,300,haar,0.012785,0.092051
7,0.05,350,computational,0.013285,0.087309
7,0.05,350,stabilizer,0.018026,0.107975
7,0.05,350,haar,0.013000,0.093786
7,0.05,400,computational,0.020808,0.119041
7,0.05,400,stabilizer,0.017667,0.103763
7,0.05,400,haar,0.010851,0.084375
7,0.05,450,computational,0.015955,0.100176
7,0.05,450,stabilizer,0.015693,0.098475
7,0.05,450,haar,0.011539,0.088980
7,0.05,500,computational,0.018789,0.114391
7,0.05,500,stabilizer,0.014096,0.094730
7,0.05,500,haar,0.012263,0.091734
7,0.15,50,computational,0.035113,0.146949
7,0.15,50,stabilizer,0.061334,0.190148
7,0.15,50,haar,0.022346,0.123091
7,0.15,100,computational,0.047144,0.172161
7,0.15,100,stabilizer,0.043996,0.174130
7,0.15,100,haar,0.016124,0.102788
7,0.15,150,computational,0.031837,0.142321
7,0.15,150,stabilizer,0.035086,0.140960
7,0.15,150,haar,0.016572,0.107166
7,0.15,200,computational,0.026141,0.135333
7,0.15,200,stabilizer,0.029971,0.143530
7,0.15,200,haar,0.014939,0.100524
7,0.15,250,computational,0.018681,0.112857
7,0.15,250,stabilizer,0.020557,0.112414
7,0.15,250,haar,0.014842,0.097576
7,0.15,300,computational,0.039668,0.151230
7,0.15,300,stabilizer,0.026354,0.129273
7,0.15,300,haar,0.015065,0.098423
7,0.15,350,computational,0.016055,0.098284
7,0.15,350,stabilizer,0.019385,0.110447
7,0.15,350,haar,0.013287,0.094340
7,0.15,400,computational,0.017722,0.103969
7,0.15,400,stabilizer,0.015699,0.097320
7,0.15,400,haar,0.012691,0.092045
7,0.15,450,computational,0.018844,0.110992
7,0.15,450,stabilizer,0.018181,0.109334
7,0.15,450,haar,0.010214,0.080397
7,0.15,500,computational,0.018859,0.105549
7,0.15,500,stabilizer,0.016790,0.104078
7,0.15,500,haar,0.011414,0.087421
7,0.25,50,computational,0.090852,0.242605
7,0.25,50,stabilizer,0.080751,0.217597
7,0.25,50,haar,0.022265,0.120121
7,0.25,100,computational,0.065964,0.204009
7,0.25,100,stabilizer,0.052855,0.190157
7,0.25,100,haar,0.019552,0.113031
7,0.25,150,computational,0.024609,0.124251
7,0.25,150,stabilizer,0.038013,0.153706
7,0.25,150,haar,0.015363,0.095904
7,0.25,200,computational,0.022252,0.114417
7,0.25,200,stabilizer,0.030723,0.133501
7,0.25,200,haar,0.016270,0.103035
7,0.25,250,computational,0.022139,0.120660
7,0.25,250,stabilizer,0.025553,0.127510
7,0.25,250,haar,0.014120,0.094916
7,0.25,300,computational,0.020537,0.117573
7,0.25,300,stabilizer,0.023920,0.119896
7,0.25,300,haar,0.012898,0.089632
7,0.25,350,computational,0.017087,0.104263
7,0.25,350,stabilizer,0.024103,0.123965
7,0.25,350,haar,0.012865,0.095806
7,0.25,400,computational,0.021074,0.114397
7,0.25,400,stabilizer,0.024954,0.125180
7,0.25,400,haar,0.012774,0.094066
7,0.25,450,computational,0.016783,0.107207
7,0.25,450,stabilizer,0.019806,0.115615
7,0.25,450,haar,0.012669,0.094472
7,0.25,500,computational,0.019699,0.113854
7,0.25,500,stabilizer,0.017149,0.099009
7,0.25,500,haar,0.013323,0.095419
8,0.05,50,computational,0.041563,0.166792
8,0.05,50,stabilizer,0.049795,0.181516
8,0.05,50,haar,0.018450,0.107241
8,0.05,100,computational,0.053814,0.181479
8,0.05,100,stabilizer,0.035501,0.152394
8,0.05,100,haar,0.016027,0.101396
8,0.05,150,computational,0.038922,0.161127
8,0.05,150,stabilizer,0.028702,0.136210
8,0.05,150,haar,0.019655,0.108004
8,0.05,200,computational,0.028003,0.133986
8,0.05,200,stabilizer,0.025481,0.126011
8,0.05,200,haar,0.016654,0.103140
8,0.05,250,computational,0.028323,0.128752
8,0.05,250,stabilizer,0.021134,0.114750
8,0.05,250,haar,0.018278,0.105891
8,0.05,300,computational,0.017483,0.104869
8,0.05,300,stabilizer,0.021543,0.117850
8,0.05,300,haar,0.018898,0.108127
8,0.05,350,computational,0.021642,0.119974
8,0.05,350,stabilizer,0.017126,0.106100
8,0.05,350,haar,0.016156,0.098233
8,0.05,400,computational,0.020340,0.115557
8,0.05,400,stabilizer,0.022495,0.125698
8,0.05,400,haar,0.018046,0.103886
8,0.05,450,computational,0.023977,0.126629
8,0.05,450,stabilizer,0.018147,0.111308
8,0.05,450,haar,0.017523,0.102869
8,0.05,500,computational,0.016185,0.105203
8,0.05,500,stabilizer,0.017186,0.103702
8,0.05,500,haar,0.017134,0.102749
8,0.15,50,computational,0.043034,0.175957
8,0.15,50,stabilizer,0.064416,0.204417
8,0.15,50,haar,0.019590,0.109167
8,0.15,100,computational,0.048572,0.175301
8,0.15,100,stabilizer,0.037578,0.161233
8,0.15,100,haar,0.019966,0.108658
8,0.15,150,computational,0.027824,0.135157
8,0.15,150,stabilizer,0.024821,0.125699
8,0.15,150,haar,0.018467,0.106225
8,0.15,200,computational,0.041950,0.162057
8,0.15,200,stabilizer,0.039583,0.159476
8,0.15,200,haar,0.021971,0.117582
8,0.15,250,computational,0.026504,0.131776
8,0.15,250,stabilizer,0.021796,0.113899
8,0.15,250,haar,0.019676,0.107035
8,0.15,300,computational,0.020716,0.121930
8,0.15,300,stabilizer,0.027625,0.129731
8,0.15,300,haar,0.018291,0.106616
8,0.15,350,computational,0.020627,0.111708
8,0.15,350,stabilizer,0.023208,0.122906
8,0.15,350,haar,0.016987,0.100601
8,0.15,400,computational,0.025177,0.133174
8,0.15,400,stabilizer,0.017828,0.105919
8,0.15,400,haar,0.016004,0.097411
8,0.15,450,computational,0.022134,0.116671
8,0.15,450,stabilizer,0.018521,0.109869
8,0.15,450,haar,0.018006,0.103455
8,0.15,500,computational,0.017869,0.109718
8,0.15,500,stabilizer,0.020422,0.119622
8,0.15,500,haar,0.016305,0.100265
8,0.25,50,computational,0.069507,0.211572
8,0.25,50,stabilizer,0.084765,0.225107
8,0.25,50,haar,0.023405,0.123549
8,0.25,100,computational,0.051453,0.190008
8,0.25,100,stabilizer,0.072193,0.210374
8,0.25,100,haar,0.027863,0.126485
8,0.25,150,computational,0.061573,0.206516
8,0.25,150,stabilizer,0.045893,0.172881
8,0.25,150,haar,0.018133,0.103097
8,0.25,200,computational,0.034470,0.138853
8,0.25,200,stabilizer,0.038100,0.154028
8,0.25,200,haar,0.021864,0.115591
8,0.25,250,computational,0.042116,0.171050
8,0.25,250,stabilizer,0.034520,0.145171
8,0.25,250,haar,0.020489,0.116480
8,0.25,300,computational,0.027395,0.135141
8,0.25,300,stabilizer,0.031548,0.140448
8,0.25,300,haar,0.019467,0.112382
8,0.25,350,computational,0.028882,0.133027
8,0.25,350,stabilizer,0.025786,0.124297
8,0.25,350,haar,0.017906,0.106772
8,0.25,400,computational,0.023074,0.125410
8,0.25,400,stabilizer,0.024306,0.128714
8,0.25,400,haar,0.019889,0.107962
8,0.25,450,computational,0.019390,0.112068
8,0.25,450,stabilizer,0.026828,0.134337
8,0.25,450,haar,0.018444,0.108712
8,0.25,500,computational,0.018457,0.119502
8,0.25,500,stabilizer,0.019480,0.109464
8,0.25,500,haar,0.018142,0.106405
9,0.05,50,computational,0.101942,0.259122
9,0.05,50,stabilizer,0.055100,0.186003
9,0.05,50,haar,0.017707,0.109240
9,0.05,100,computational,0.047928,0.182965
9,0.05,100,stabilizer,0.035513,0.148284
9,0.05,100,haar,0.016303,0.104742
9,0.05,150,computational,0.036075,0.152129
9,0.05,150,stabilizer,0.036190,0.149443
9,0.05,150,haar,0.016760,0.109734
9,0.05,200,computational,0.017534,0.106125
9,0.05,200,stabilizer,0.020689,0.115341
9,0.05,200,haar,0.014484,0.098481
9,0.05,250,computational,0.019201,0.113226
9,0.05,250,stabilizer,0.017813,0.112414
9,0.05,250,haar,0.014835,0.097991
9,0.05,300,computational,0.019859,0.115498
9,0.05,300,stabilizer,0.014765,0.097414
9,0.05,300,haar,0.014317,0.096554
9,0.05,350,computational,0.015922,0.098748
9,0.05,350,stabilizer,0.013103,0.096742
9,0.05,350,haar,0.014019,0.095678
9,0.05,400,computational,0.016941,0.100824
9,0.05,400,stabilizer,0.011404,0.086485
9,0.05,400,haar,0.013874,0.096162
9,0.05,450,computational,0.015868,0.102461
9,0.05,450,stabilizer,0.012815,0.088113
9,0.05,450,haar,0.013788,0.095820
9,0.05,500,computational,0.012359,0.086445
9,0.05,500,stabilizer,0.009850,0.078669
9,0.05,500,haar,0.013518,0.095783
9,0.15,50,computational,0.034821,0.145027
9,0.15,50,stabilizer,0.065092,0.203149
9,0.15,50,haar,0.018720,0.115963
9,0.15,100,computational,0.032190,0.140708
9,0.15,100,stabilizer,0.054083,0.192709
9,0.15,100,haar,0.018305,0.109030
9,0.15,150,computational,0.022209,0.121660
9,0.15,150,stabilizer,0.023081,0.119746
9,0.15,150,haar,0.016792,0.107984
9,0.15,200,computational,0.031151,0.137858
9,0.15,200,stabilizer,0.022347,0.120666
9,0.15,200,haar,0.011852,0.088289
9,0.15,250,computational,0.023387,0.124890
9,0.15,250,stabilizer,0.024407,0.122997
9,0.15,250,haar,0.015754,0.102306
9,0.15,300,computational,0.019413,0.115707
9,0.15,300,stabilizer,0.020436,0.112045
9,0.15,300,haar,0.014716,0.101752
9,0.15,350,computational,0.022656,0.122482
9,0.15,350,stabilizer,0.018184,0.109955
9,0.15,350,haar,0.014222,0.098652
9,0.15,400,computational,0.017075,0.104832
9,0.15,400,stabilizer,0.016274,0.102175
9,0.15,400,haar,0.014801,0.101682
9,0.15,450,computational,0.019754,0.115342
9,0.15,450,stabilizer,0.012489,0.090459
9,0.15,450,haar,0.014076,0.097869
9,0.15,500,computational,0.022162,0.111341
9,0.15,500,stabilizer,0.015105,0.098424
9,0.15,500,haar,0.014856,0.100309
9,0.25,50,computational,0.058325,0.198387
9,0.25,50,stabilizer,0.113798,0.260692
9,0.25,50,haar,0.033168,0.148711
9,0.25,100,computational,0.057186,0.202062
9,0.25,100,stabilizer,0.048236,0.178852
9,0.25,100,haar,0.020207,0.112355
9,0.25,150,computational,0.034430,0.142186
9,0.25,150,stabilizer,0.040287,0.159360
9,0.25,150,haar,0.015782,0.103259
9,0.25,200,computational,0.053524,0.184916
9,0.25,200,stabilizer,0.037407,0.155928
9,0.25,200,haar,0.015669,0.103159
9,0.25,250,computational,0.023494,0.118137
9,0.25,250,stabilizer,0.025639,0.127985
9,0.25,250,haar,0.014122,0.099422
9,0.25,300,computational,0.021281,0.117832
9,0.25,300,stabilizer,0.017448,0.107695
9,0.25,300,haar,0.015035,0.101839
9,0.25,350,computational,0.026251,0.130856
9,0.25,350,stabilizer,0.018839,0.112603
9,0.25,350,haar,0.015076,0.099822
9,0.25,400,computational,0.024386,0.121821
9,0.25,400,stabilizer,0.018480,0.110381
9,0.25,400,haar,0.015741,0.103479
9,0.25,450,computational,0.023537,0.117278
9,0.25,450,stabilizer,0.015223,0.096388
9,0.25,450,haar,0.014169,0.095536
9,0.25,500,computational,0.020148,0.110486
9,0.25,500,stabilizer,0.020392,0.116072
9,0.25,500,haar,0.015840,0.104328
